exp_name,sample_dir,inference_type,ckpt_step,fid50k,num_steps,steps_per_pass,sampler,hidden_schedule_max_t,hidden_sphere_clamp,encode_linear_start_t,encode_fixed_start_t,encode_reground_t_fix,reground_fixed_enc_noise,reground_fixed_cond_noise,reground_shared_noise,recycle_t_fix,model_type,use_hidden_tokens,num_hidden_tokens,share_timestep_embedder,share_patch_embedder,use_per_token_encoding,hidden_weight,hidden_cos_weight,hidden_reg_weight,hidden_same_t_as_img,normalize_hidden,noisy_img_encode,hidden_grad_dyn_scale,hidden_grad_static_scale,hidden_t_shift_init,hidden_t_shift_final,hidden_t_shift_warmup,hidden_loss_warmup_start,hidden_loss_warmup_end,use_encode_mode_emb,hidden_guidance_scale,use_repa,repa_weight,repa_mode,semantic_weight,train_max_steps,weight_init,config,timestamp,reground_reuse_encode_for_repg,cfg_noise_hidden,cfg_scale,hidden_rep_guidance,autoguidance_config
sfd_1p0_baseline_sanity,lightningdit-1p0b-1-ckpt-4000000-euler-100-interval0.00-cfg1.50-shift0.00-balanced-ag_inference,standard,4000000,1.046118165443886,100,,euler,,False,,,,False,False,False,,LightningDiT-1p0B/1,False,,False,True,True,,,,False,True,False,,,,,,,,False,,True,,,2.0,4000000,,configs/sfd/lightningdit_1p0/inference_4m.yaml,2026-04-13T02:59:52,False,False,1.5,1.0,configs/sfd/autoguidance_b/inference.yaml
sfd_1p0_baseline_sanity,lightningdit-1p0b-1-ckpt-4000000-dopri5-250-interval0.00-cfg1.50-shift0.00-balanced-ag_inference,standard,4000000,1.092157062761828,250,,dopri5,,False,,,,False,False,False,,LightningDiT-1p0B/1,False,,False,True,True,,,,False,True,False,,,,,,,,False,,True,,,2.0,4000000,,configs/sfd/lightningdit_1p0/inference_4m.yaml,2026-04-13T03:55:52,False,False,1.5,1.0,configs/sfd/autoguidance_b/inference.yaml
1p0_finetune_no_hidden_warm8k_cfg_test_newag,lightningdit-1p0b-1-ckpt-0100000-euler-100-interval0.00-cfg1.50-shift0.00-balanced-ag_inference_ft,standard,100000,1.0926369140750012,100,,euler,,False,,,,False,False,False,,LightningDiT-1p0B/1,False,,False,True,True,,,,False,True,False,,,,,,,,False,,True,,,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000_full.pt,configs/sfd/hidden_1p0_h200_from_ft/finetune_no_hidden_warm8k.yaml,2026-04-16T20:29:44,False,False,1.5,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0080000,hiddenlightningdit_1p0b_h8-ckpt-0080000-euler-100-interval0.00-cfg1.40-shift0.00-balanced-hsphereclamp-encreground0.10-fixenc-ag_inference_ft,encodereground,80000,1.2104461748043036,100,,euler,,True,,,0.1,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-21T02:51:56,False,False,1.4,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0080000,hiddenlightningdit_1p0b_h8-ckpt-0080000-euler-100-interval0.00-cfg1.40-shift0.00-balanced-hsphereclamp-encreground0.20-fixenc-ag_inference_ft,encodereground,80000,1.2342574529149033,100,,euler,,True,,,0.2,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-21T03:03:08,False,False,1.4,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0080000,hiddenlightningdit_1p0b_h8-ckpt-0080000-euler-100-interval0.00-cfg1.30-shift0.00-balanced-hsphereclamp-encreground0.20-fixenc-ag_inference_ft,encodereground,80000,1.2459330861096305,100,,euler,,True,,,0.2,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-20T19:31:25,False,False,1.3,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0080000,hiddenlightningdit_1p0b_h8-ckpt-0080000-euler-100-interval0.00-cfg1.30-shift0.00-balanced-hsphereclamp-encreground0.10-fixenc-ag_inference_ft,encodereground,80000,1.2473147708456054,100,,euler,,True,,,0.1,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-21T02:54:00,False,False,1.3,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0080000,hiddenlightningdit_1p0b_h8-ckpt-0080000-euler-100-interval0.00-cfg1.50-shift0.00-balanced-hsphereclamp-encreground0.10-fixenc-ag_inference_ft,encodereground,80000,1.2517452621405596,100,,euler,,True,,,0.1,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-21T02:46:46,False,False,1.5,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0080000,hiddenlightningdit_1p0b_h8-ckpt-0080000-euler-100-interval0.00-cfg1.30-shift0.00-balanced-hsphereclamp-encreground0.30-fixenc-ag_inference_ft,encodereground,80000,1.2698199015101181,100,,euler,,True,,,0.3,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-21T03:06:41,False,False,1.3,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
1p0_v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5_0080000,hiddenlightningdit_1p0b_h8-ckpt-0080000-euler-100-interval0.00-cfg1.40-shift0.00-balanced-hsphereclamp-encreground0.30-fixenc-ag_inference_ft,encodereground,80000,1.2959965109677682,100,,euler,,True,,,0.3,True,False,False,,HiddenLightningDiT_1p0B_H8,True,,True,True,True,0.001,0.0,0.01,False,True,True,,,1.0,1.0,0,0,0,False,1.5,True,1.0,cos,2.0,100000,outputs/train/sfd_1p0/checkpoints/4000000.pt,configs/sfd/hidden_1p0_h200_from_ft/v4_mse0001_noisy_enc_nocurr_shift1_repg_1p5.yaml,2026-04-21T03:08:16,False,False,1.4,1.0,configs/sfd/autoguidance_b/inference_ft.yaml
